base_product,market,average_price
АРКО МЕН КРЕМ ЗА БРИЧЕЊЕ ХИДРАТ 90МЛ,Tinex,85.0
АРКО ПЕНА ЗА БРИЧЕЊЕ БЛЕК 200МЛ,Ramstore,159.0
АРКО ПЕНА ЗА БРИЧЕЊЕ ЕКСТРА СЕНЗИТИВ 200МЛ,Ramstore,159.0
АРКОСОЛ СПРЕЈ ЗА ЛАЗЕЧКИ ИНСЕКТИ 300МЛ,Ramstore,155.0
АРКОСОЛ СПРЕЈ ЗА ЛЕТЕЧКИ ИНСЕКТИ 300МЛ,Ramstore,129.0
АРФ АБРАЗИВНО СРЕДСТВО КРЕМ НАТУРАЛ 400МЛ,Tinex,129.0
АРФ АБРАЗИВНО СРЕДСТВО КРЕМ ОРИГИНАЛ 400МЛ,Tinex,129.0
АРФ АБРАЗИВНО СРЕДСТВО КРЕМ ЦИТРО 400МЛ,Tinex,129.0
АРФ ЗА СТАКЛО АНТИСТАТИK ПУМПА 650МЛ,Ramstore,129.0
АРФ ПРОФЕСИОНАЛ БАЊИ 600МЛ,Ramstore,162.0
АРФ ПРОФЕСИОНАЛ КУЈНА 600МЛ,Ramstore,162.0
АРФ СПРЕЈ ПРОФЕСИОНАЛ УНИВЕРЗАЛ 600МЛ,Ramstore,162.0
АССО ГЛИЦЕРИНСКИ САПУН 100ГР,Ramstore,57.0
АТЛАНТИС БОНББАДЕМ 200ГР,Tinex,203.0
АТРИКС КРЕМ ЗА РАЦЕ 150МЛ,Tinex,283.0
АУТАН СПРЕЈ ЗА УБОДИ ОД КОМАРЦИ ФАМИЛИ 100МЛ,Ramstore,369.0
АФРОДИТА ЈОЈОБА МЛЕКО ЗА ТЕЛО 250МЛ,Ramstore,279.0
АФРОДИТА АРГАН КРЕМА ЗА РАЦЕ 100МЛ,Tinex,159.0
АФРОДИТА АЦЕТОН НЕВЕН 100МЛ,Ramstore,79.0
АФРОДИТА ГЕЛ ЗА ТУШИРАЊЕ ГОЛДЕН БЛИС 250МЛ,Ramstore,192.0
АФРОДИТА ГЕЛ ЗА ТУШИРАЊЕ ЕКСТРА СЕНЗИТИВ 250МЛ,Ramstore,175.0
АФРОДИТА ГЕЛ ЗА ТУШИРАЊЕ ФРОУЗЕН ДРИМ 250МЛ,Ramstore,192.0
АФРОДИТА ГРОЗЈЕ МЛЕКО ЗА ТЕЛО 250МЛ,Ramstore,279.0
АФРОДИТА КРЕМА ЗА ЛИЦЕ БОГАТА СО ХИДРА Б5 50МЛ,Ramstore,299.0
АФРОДИТА КРЕМА ЗА ЛИЦЕ ХРАНЛИВА Б5 50МЛ,Ramstore,299.0
АФРОДИТА КРЕМА ЗА РАЦЕ АРГАН 100МЛ,Ramstore,159.0
АФРОДИТА КРЕМА ЗА РАЦЕ БАДЕМ 100МЛ,Ramstore,159.0
АФРОДИТА КРЕМА ЗА РАЦЕ НЕВЕН 75МЛ,Ramstore,92.0
АФРОДИТА МЛЕКО ЗА ТЕЛО  250МЛ,Ramstore,279.0
АФРОДИТА МЛЕКО ЗА ТЕЛО ЕКСТРА СЕНЗИТИВ 250МЛ,Ramstore,279.0
АФРОДИТА ШАМПОН ЗА КОСА И ТЕЛО АРГАН 1Л,Tinex,149.0
АФРОДИТА ШАМПОН МЕНТА И ЛИМОН 950МЛ,Ramstore,209.0
АФРОДИТА ШАМПОН ЦРВЕН КРОМИД 950МЛ,Ramstore,209.0
АФРОДИТА ШАМПОН ЧАЈНО ДРВО И РУЗМАРИН 950МЛ,Ramstore,209.0
АФРОДТА ТЕЧЕН САПУН СМОКВА&МАСЛИНКА 300МЛ,Ramstore,155.0
АФТЕР ЕЈТ ПОРТОКАЛ 200ГР,Ramstore,325.0
Б003 ДЕСТИЛИРАНА ВОДА 3Л,Ramstore,95.0
БАЈАДЕРА ЛИКЕР 07Л,Ramstore,1199.0
БАВАРИА ГАУДА КАШКАВАЛ 320ГР,Tinex,203.0
БАВАРИА ЕДАМЕР 320ГР,Tinex,203.0
БАВАРИА ПИЈАЛОК ОД СЛАД СО КАЛИНКА 033Л,Ramstore,74.0
БАВАРИА ПИВО ЛИМЕНКА 500МЛ,Ramstore,70.0
БАВАРИА ПИВО ПРЕМИУМ 330МЛ,Tinex,73.0
БАВАРИА ПИВО ПРЕМИУМ ЛИМ 033Л,Ramstore,52.0
БАВАРИА ПИВО ПРЕМИУМ СТАКЛО 033Л,Ramstore,72.0
БАДЕЛ ВИГОР 1Л,Ramstore,579.0
БАДЕЛ ВИГОР ВОДКА 07Л,Ramstore,455.0
БАДЕЛ ВРВ ПРИМА БРЕНД 07Л,Ramstore,519.0
БАДЕЛ КРУШКОВАЦ 1Л,Ramstore,599.0
БАДЕЛ ПЕЛИНКОВАЦ 07Л,Ramstore,559.0
БАДЕЛ ПРИМА БЛЕК 07Л,Ramstore,839.0
БАДЕЛ ПРИМА БРЕНДИ 01Л,Ramstore,99.0
БАДЕЛ ПРИМА БРЕНДИ 05Л,Ramstore,415.0
БАДЕЛ РУМБА РУМ 01Л,Ramstore,89.0
БАДЕЛ САКС ЏИН ЏИНЏЕР 07Л,Ramstore,609.0
БАДЕЛ САКС ЏИН ОРИГИНАЛ 07Л,Ramstore,609.0
БАДЕЛ САКС ЏИН ПИНК 07Л,Ramstore,609.0
БАДУКО САРДИНА ВО ДОМАТЕН СОС 125ГР,Ramstore,57.0
БАДУКО САРДИНА ВО МАСЛО 125ГР,Ramstore,57.0
БАДУКО САРДИНА СО ЧИЛИ 125ГР,Ramstore,57.0
БАЛАНТАЈН` С  ВИСКИ  07Л,Tinex,1029.0
БАЛСАМИКО ОЦЕТ ДИ МОДЕНА 250МЛ,Ramstore,179.0
БАНИНИ ТРИК СТАПЧИЊА СО КИКИРИКИ 200ГР,Ramstore,64.0
БАРИЛА 71 ПЕСТО КАЛАБРЕСЕ 190ГР,Ramstore,249.0
БАРИЛА АРАБИАТА СОС 400ГР,Tinex,182.0
БАРИЛА СОС ПЕСТО ЧИЛИ 195ГР,Ramstore,249.0
БАРКАФЕ ПЕРФЕТО КАПСУЛИ ЛАТЕ 160ГР,Tinex,234.0
БАФАЛО ТРЕЈС БУРБОН 07Л,Ramstore,1779.0
БЕБЕВИТА МУЛТИ ОВОШЈЕ 90ГР,Ramstore,59.0
БЕБЕВИТА ШПАГЕТИ БОЛОЊЕЗЕ 190ГР,Ramstore,95.0
БЕБЕТО ГУМЕНИ БОНБОНИ МАЛИНА И МАНДАРИНА 75ГР,Ramstore,45.0
БЕКУТАН  ШАМПОН СО ОВЕС 200 МЛ,Ramstore,152.0
БЕКУТАН ВИТАМИНСКА МАСТ 100МЛ,Ramstore,195.0
БЕКУТАН ВИТАМИНСКА МАСТ 50МЛ,Ramstore,129.0
БЕКУТАН ДЕТСКА  КРЕМА ЗА СОНЧАЊЕ СПФ50 75МЛ,Ramstore,395.0
БЕКУТАН ДЕТСКИ САПУН СО КАМИЛИЦА 90ГР,Ramstore,42.0
БЕКУТАН КРЕМ ДЕТСКИ ЗА СОНЧАЊЕ СПФ50 75МЛ,Tinex,403.0
БЕКУТАН КРЕМ ЗА ДЕЦА 100МЛ,Ramstore,185.0
БЕКУТАН КРЕМ ЗА ДЕЦА 50МЛ,Ramstore,122.0
БЕКУТАН КРЕМ СО БАДЕМ 100 МЛ,Ramstore,209.0
БЕКУТАН КУПКА ЗА ДЕЦА КАМИЛИЦА 200МЛ,Tinex,175.0
БЕКУТАН МАСЛО ЗА ДЕЦА 200МЛ,Ramstore,205.0
БЕКУТАН МАСЛО СО ЛАВАНДА 200 МЛ,Ramstore,205.0
БЕКУТАН МАСЛО СО ЛАВАНДА 200МЛ,Tinex,208.0
БЕКУТАН МАСТ ВИТАМИНСКА 50МЛ,Tinex,124.0
БЕКУТАН МЛЕКО ЗА ДЕЦА 200МЛ,Ramstore,179.0
БЕКУТАН МЛЕКО ЗА ДЕЦА 400МЛ,Ramstore,279.0
БЕКУТАН МЛЕКО ЗА СОНЧАЊЕ СПФ50 СПРЕЈ 270МЛ,Ramstore,1112.0
БЕКУТАН ПЕНА ЗА МИЕЊЕ РАЦЕ И ЛИЦЕ 250МЛ,Ramstore,189.0
БЕКУТАН ПЕНА ЗА МИЕЊЕ РАЦЕ И ЛИЦЕ 250МЛ,Tinex,189.0
БЕКУТАН СПРЕЈ ПРОТИВ УБОДИ ОД ИНСЕКТИ 100МЛ,Ramstore,369.0
БЕКУТАН ТЕЧЕН САПУН 250МЛ,Ramstore,127.0
БЕКУТАН ХИДРАТАНТЕН КРЕМ 100МЛ,Ramstore,169.0
БЕКУТАН ШАМПОН ЗА ДЕЦА 200МЛ,Ramstore,132.0
БЕКУТАН ШАМПОН ЗА ДЕЦА 400МЛ,Ramstore,172.0
БЕКУТАН ШАМПОН ЗА ДЕЦА 400МЛ,Tinex,230.0
БЕКУТАН ШАМПОН ЗА ДЕЦА КАМИЛИЦА 200МЛ,Tinex,152.0
БЕКУТАН ШАМПОН ЗА ДЕЦА СО КАМИЛИЦА 200МЛ,Ramstore,152.0
БЕКУТАН ШАМПОН И КУПКА 2 ВО 1 200МЛ,Ramstore,165.0
БЕКУТАН ШАМПОН И КУПКА 2 ВО 1 400МЛ,Ramstore,225.0
БЕКУТАН ШАМПОН И КУПКА 2ВО1 200МЛ,Tinex,166.0
БЕКУТАН ШАМПОН И КУПКА 2ВО1 Л,Ramstore,165.0
БЕНЛИАН ЧИПС ОД ПЧЕНКА И ОРИЗ СО ПАВЛАКА 50ГР,Tinex,50.0
БИ ХЕЛТИ ПРОТЕИН КОЛАЧ СО ДВОЈНО  80ГР,Ramstore,99.0
БИБЕР ВО ЗРНО 10ГР,Ramstore,10.0
БИКЕНС ЏИН 1Л,Ramstore,1165.0
БИМИЛК АЈРАН 250ГР,Tinex,24.0
БИМИЛК АЈРАН 950ГР,Tinex,73.0
БИМИЛК АРСКИ ЈОГУРТ 1% 950ГР,Tinex,73.0
"БИМИЛК КИСЕЛО МЛЕКО БИТОЛСКО КРАВЈО 2,8% 400ГР",Tinex,34.0
БИМИЛК СВЕЖО МЛЕКО СО Д3 ВИТАМИН 1Л,Tinex,70.0
БИО КОСМОС МАГНЕЗИУМ ХЛОРИД ГРАНУЛИ 33ГР,Ramstore,74.0
БИО КОСМОС ОРГАНСКИ ПРОТЕИНСКИ БАР БАНАНА 50ГР,Ramstore,128.0
БИО КОСМОС ОРГАНСКИ СИРОВ БАР  И КАКАО 45ГР,Ramstore,69.0
БИОТЕН ВИТАМИН Ц ДНЕВНА КРЕМА ЗА ЛИЦЕ 50МЛ,Tinex,428.0
БИОТЕН ГЕЛ ЗА МИЕЊЕ ЛИЦЕ ХИДРО X-CELL 200МЛ,Ramstore,305.0
БИОТЕН ГЕЛ ЗА ЧИСТЕЊЕ ЛИЦЕ 200МЛ,Tinex,299.0
БИОТЕН ДЕО СПРЕЈ ГЛИНЕСТИ МИНЕРАЛИ 150МЛ,Ramstore,199.0
БИОТЕН ДЕО СПРЕЈ РОЗА 150МЛ,Ramstore,199.0
БИОТЕН ДЕО СПРЕЈ ХИЈАЛУРОНИК 150МЛ,Ramstore,199.0
БИОТЕН ДНЕВНА КРЕМА СУВА И ОСЕТЛИВА КОЖА 50МЛ,Ramstore,329.0
БИОТЕН МИЦЕРАЛНА ВОДА ДЕТОКС 400МЛ,Ramstore,335.0
БИОТЕН МИЦЕРАЛНА ВОДА ХИДРО X-CELL 400МЛ,Ramstore,335.0
БИОТЕН ХИЈАЛУРОНИК ГОЛД  НОЌНА КРЕМА  50МЛ,Ramstore,669.0
БИОТЕН ХИЈАЛУРОНИК МАСКА ВО МАРАМЧЕ 20МЛ,Tinex,121.0
БИОТЕН ХИЈАЛУРОНСКА МИЦЕРАЛНА ВОДА 400МЛ,Ramstore,335.0
БИОТЕН ХИЈАЛУРОНСКИ ГЕЛ ЗА МИЕЊЕ ЛИЦЕ 200МЛ,Ramstore,305.0
БИРА МОРЕТИ ЛИМ 500МЛ,Ramstore,55.0
БИТОЛСКИ ЈОГУРТ ЛАЈТ 10% ММ 950ГР,Ramstore,77.0
БИТОЛСКО МЛЕКО 09 % ММ 1Л,Ramstore,85.0
БИТОЛСКО МЛЕКО 10 ВИТАМИНИ 28% ММ 1Л,Ramstore,81.0
БИТОЛСКО МЛЕКО 15% ММ 1Л,Ramstore,82.0
БИТОЛСКО МЛЕКО 28% ММ 05Л,Ramstore,46.0
БИТОЛСКО МЛЕКО 28% ММ 1Л,Ramstore,72.0
БИТОЛСКО МЛЕКО 32% ММ 1Л,Ramstore,68.0
БИФИТЕР ЏИН 1 ЧАША 07Л,Ramstore,1059.0
БИФРУИТ ЈАБОЛКО 100% 1Л,Ramstore,78.0
БИФРУИТ БОРОВИНКА НЕКТАР 1Л,Ramstore,78.0
БИФРУИТ ПОРТОКАЛ 100% 1Л,Ramstore,115.0
БЛАГ СОК ОД ЈАБОЛКО БЕБИВИТА 200МЛ,Ramstore,72.0
БЛЕК АП МАСЛО ЗА СОНЧАЊЕ Ф6 150МЛ,Ramstore,435.0
БЛЕК АП МЛЕКО ЗА СОНЧАЊЕ СПРЕЈ Ф30 270МЛ,Ramstore,995.0
БЛЕК АП МЛЕКО ЗА СОНЧАЊЕ СПФ15 150МЛ,Tinex,413.0
БЛЕК АП МЛЕКО ЗА СОНЧАЊЕ Ф15 150МЛ,Ramstore,409.0
БЛЕК АП МЛЕКО ПО СОНЧАЊЕ 200МЛ,Ramstore,355.0
БЛЕК АП ПУТЕР ЗА ИНТЕНЗИВНО ПОТЕМНУВАЊЕ 200МЛ,Ramstore,899.0
БЛЕК АП СПРЕЈ ПРОТИВ УБОДИ ОД ИНСЕКТИ 150МЛ,Ramstore,499.0
БЛЕК АРЕМ ЗА ЛИЦЕ  СПФ30 50МЛ,Tinex,234.0
БЛЕК АРЕМ ЗА ЛИЦЕ 50МЛ,Ramstore,232.0
БЛЕК АРЕМ ЗА СОНЧАЊЕ Ф30 100МЛ,Ramstore,329.0
БЛУ ЛАГУН КОКТЕЛ 033Л,Ramstore,92.0
БОВИН АЛЕКСАНДАР 075Л,Ramstore,689.0
БОВИН ВИНО АНА МАРИЈА РОЗЕ 075Л,Ramstore,655.0
"БОВИН ВРВНО ВИНО МЕРЛО 0,75 Л",Ramstore,869.0
БОВИН ДИСАН БАРИК 075Л,Ramstore,1035.0
БОВИН СВТРИФУН ПРЕМИУМ 05Л,Ramstore,749.0
БОВИН ТРАМИНЕЦ 075Л,Ramstore,655.0
БОМБАЈ САФИР ЏИН 07Л,Ramstore,1285.0
БООМ БОКС ГРАНОЛА ОВЕСНА СО КАКАО 300ГР,Tinex,184.0
БООМ БОКС НАПИТОК ОВЕСЕН  1Л,Tinex,194.0
БООМ БОКС НАПИТОК ОВЕСЕН СО ЛЕШНИК 1Л,Tinex,194.0
БООМ БОКС ОВЕСЕН НАПИТОК БАДЕМ 1Л,Tinex,194.0
БОРОТАЛКО  ДЕО СПРЕЈ АКТИВ МАНДАРИНА 150МЛ,Ramstore,249.0
БОРОТАЛКО ДЕО РОЛОН АКТИВ ЦИТРУС И ЛАЈМ 50МЛ,Ramstore,275.0
БОРОТАЛКО ДЕО РОЛОН ВАЈТ 50МЛ,Ramstore,275.0
БОРОТАЛКО ДЕО РОЛОН ЗА МАЖИ 0% АЛУМИНИУМ 50МЛ,Ramstore,275.0
БОРОТАЛКО ДЕО РОЛОН ЗА МАЖИ АМБЕР 50МЛ,Ramstore,275.0
БОРОТАЛКО ДЕО РОЛОН ЗА МАЖИ ОРИГИНАЛ 50МЛ,Ramstore,275.0
БОРОТАЛКО ДЕО РОЛОН ЗА МАЖИ ПЈУР 0% 50МЛ,Ramstore,275.0
БОРОТАЛКО ДЕО РОЛОН ИНВИЗИБЛ 50МЛ,Ramstore,275.0
